ID,Set,Age,Experience.HMI,Experience.Industry,Company.Category,Role.HMI,Lenze.State,Lenze.State.Confidence,Lenze.State.Difficulty,Lenze.Address,Lenze.Address.Confidence,Lenze.Address.Difficulty,Lenze.ModeTime,Lenze.ModeTime.Confidence,Lenze.ModeTime.Difficulty,Lenze.Alarm,Lenze.Alarm.Confidence,Lenze.Alarm.Difficulty,Lenze.Overall.Difficulty,Lenze.SiemensQimarox.Difficulty,BeckhoffNestle.Count,BeckhoffNestle.Count.Confidence,BeckhoffNestle.Count.Difficulty,BeckhoffNestle.SealerTemp,BeckhoffNestle.SealerTemp.Confidence,BeckhoffNestle.SealerTemp.Difficulty,BeckhoffNestle.Rejects,BeckhoffNestle.Rejects.Confidence,BeckhoffNestle.Rejects.Difficulty,BeckhoffNestle.Alarm,BeckhoffNestle.Alarm.Confidence,BeckhoffNestle.Alarm.Difficulty,BeckhoffNestle.Overall.Difficulty,BeckhoffNestle.Lenze.Difficulty,SiemensQimarox.Speed,SiemensQimarox.Speed.Confidence,SiemensQimarox.Speed.Difficulty,SiemensQimarox.Address,SiemensQimarox.Address.Confidence,SiemensQimarox.Address.Difficulty,SiemensQimarox.Rejects,SiemensQimarox.Rejects.Confidence,SiemensQimarox.Rejects.Difficulty,SiemensQimarox.Alarm,SiemensQimarox.Alarm.Confidence,SiemensQimarox.Alarm.Difficulty,SiemensQimarox.Overall.Difficulty,BeckhoffNestle.SiemensQimarox.Difficulty,Preference.Overall,Perceived.Efficiency.Reduction,Perceived.Safety.Increase,Perceived.Downtime.Reduction,Perceived.JobSatisfaction.Increase,Perceived.OperatorError.Reduction,Standardization.Sway
1,A,3,1,1,1,4,5,4,1,2,5,3,1,5,2,3,5,4,2,NA,4,5,2,NA,1,1,2,3,3,2,5,4,3,2,3,5,4,4,5,3,4,4,3,5,4,5,4,2,3,5,5,5,5,5,1
2,B,3,4,3,1,3,5,1,1,2,5,5,1,5,3,3,5,4,3,3,4,5,5,NA,1,1,2,5,5,2,5,5,4,NA,3,4,4,4,5,3,4,5,5,5,5,5,3,2,2,3,NA,NA,NA,NA,NA
3,C,3,2,1,2,4,3,5,3,2,5,4,1,5,2,5,1,4,4,2,4,4,3,1,5,4,2,5,4,2,5,4,4,2,3,5,4,4,5,2,4,5,3,5,2,4,3,NA,2,4,3,4,4,4,3
4,A,2,3,2,4,4,3,5,2,2,5,5,1,5,1,3,5,2,3,NA,4,5,2,1,5,4,2,5,2,2,5,5,3,2,1,5,1,4,5,3,4,5,2,5,5,4,4,4,3,3,4,5,5,5,1
5,B,3,1,1,2,4,3,5,3,2,5,5,1,5,5,5,5,5,4,4,1,1,1,1,2,2,2,5,5,2,5,5,3,NA,3,5,5,4,5,1,4,5,5,5,5,5,4,4,1,5,1,3,3,4,3
6,C,1,3,1,4,3,5,1,1,2,5,5,NA,1,1,5,1,2,2,2,4,5,4,-1,4,3,NA,1,1,2,5,4,3,4,3,5,3,4,5,1,4,5,5,5,5,5,4,NA,2,5,2,3,4,4,3
7,A,4,3,3,1,3,5,5,4,2,5,4,1,2,3,3,5,3,3,NA,NA,1,1,NA,1,1,2,4,3,2,5,5,1,1,3,5,1,4,5,4,4,5,4,5,3,4,3,1,1,2,3,4,5,5,5
8,B,4,4,3,4,3,3,2,1,2,5,5,1,5,5,3,5,5,4,1,4,5,1,1,1,1,2,5,3,2,3,4,1,NA,1,5,2,4,5,2,4,5,2,5,3,1,1,1,1,5,5,5,5,5,1
9,C,3,4,3,3,3,5,3,3,2,5,4,1,1,1,3,4,4,3,2,1,1,1,1,4,3,1,1,1,2,4,4,3,2,3,4,2,2,1,1,4,5,5,4,3,3,2,NA,1,3,2,5,5,5,5
10,A,5,4,3,1,3,NA,1,1,2,5,5,1,5,5,5,5,5,4,NA,NA,1,1,1,5,4,2,5,5,2,5,5,4,2,4,5,5,4,5,2,4,5,4,5,5,5,3,1,2,5,3,2,4,2,3
11,B,1,1,1,1,4,1,2,4,2,5,5,4,3,3,3,5,5,NA,NA,2,2,2,1,2,3,2,5,5,2,5,5,2,NA,1,5,5,4,3,3,4,5,4,5,2,4,3,2,1,5,3,5,5,4,5
12,C,3,1,1,2,4,NA,1,1,2,5,5,1,5,5,3,5,4,4,3,4,5,2,NA,1,1,2,5,3,2,5,5,1,1,3,5,5,4,5,5,4,5,4,5,5,4,4,NA,1,5,4,3,5,4,1
13,A,3,4,3,4,3,1,3,1,2,5,3,NA,1,1,1,3,3,3,NA,NA,1,1,NA,1,1,2,3,2,2,5,5,4,3,1,5,4,4,5,4,NA,1,1,5,5,3,3,4,2,5,2,5,5,5,3
14,B,2,3,1,4,3,5,5,4,2,5,5,1,5,4,3,5,5,4,3,4,5,5,1,4,3,2,4,5,2,5,5,4,NA,3,4,4,4,5,1,4,5,3,5,4,4,2,3,2,4,3,4,4,4,3
15,C,2,4,2,3,3,3,5,5,2,5,5,1,4,5,5,3,5,5,2,4,5,5,1,1,1,2,5,5,2,5,5,3,4,1,3,2,4,5,4,4,4,5,4,2,5,3,NA,1,5,3,3,5,5,3
